customer_id,customer_name,segment,industry,registration_date,last_purchase_date,lifetime_value,total_orders,avg_order_value,is_active,credit_limit,region,contact_email,phone
Customer_029,Company ] Inc.,Enterprise,Finance,2024-05-08,2025-09-19,45475.4,6,3248.24,True,74937.09,West,contact29@company29.com,+1-555-532-1606
Customer_030,Company ^ Inc.,SMB,Finance,2024-10-31,2025-09-13,1461.09,5,182.64,False,2055.34,East,contact30@company30.com,+1-555-774-3883
Customer_031,Company _ Inc.,Enterprise,Technology,2023-01-01,2025-07-06,24458.55,8,1881.43,False,46892.04,East,contact31@company31.com,+1-555-716-5882
Customer_032,Company ` Inc.,Enterprise,Finance,2023-06-12,2025-09-21,13463.44,5,1682.93,True,25695.99,West,contact32@company32.com,+1-555-959-3302
Customer_033,Company a Inc.,SMB,Retail,2025-02-05,2025-09-05,3065.4,6,278.67,True,5966.33,Central,contact33@company33.com,+1-555-780-9605
Customer_034,Company b Inc.,Startup,Technology,2022-12-11,2025-09-17,882.93,13,98.1,True,1145.88,East,contact34@company34.com,+1-555-437-7388
Customer_035,Company c Inc.,SMB,Healthcare,2023-05-10,2025-08-09,1890.85,7,236.36,False,2533.97,East,contact35@company35.com,+1-555-550-7690
Customer_036,Company d Inc.,Startup,Manufacturing,2025-05-31,2025-08-17,4793.34,11,1198.34,True,8434.81,North,contact36@company36.com,+1-555-424-9941
Customer_037,John Doe 37,Individual,Education,2023-01-24,2025-09-23,145.89,6,12.16,True,207.49,South,contact37@company37.com,+1-555-471-8786
Customer_038,Company f Inc.,Startup,Technology,2023-12-31,2025-07-03,458.01,8,91.6,True,881.3,North,contact38@company38.com,+1-555-961-1895
Customer_039,Company g Inc.,SMB,Retail,2024-04-22,2025-08-22,4278.74,5,475.42,True,7321.6,East,contact39@company39.com,+1-555-931-2999
Customer_040,Company h Inc.,SMB,Manufacturing,2023-03-31,2025-06-17,3152.34,10,450.33,False,6205.69,East,contact40@company40.com,+1-555-408-2478
Customer_041,Company i Inc.,SMB,Healthcare,2024-01-22,2025-09-19,3993.17,8,499.15,True,5303.66,West,contact41@company41.com,+1-555-746-6196
Customer_042,John Doe 42,Individual,Finance,2025-07-15,2025-09-20,300.01,15,37.5,True,557.59,West,contact42@company42.com,+1-555-582-7765
Customer_043,Company k Inc.,Startup,Technology,2023-05-11,2025-09-12,987.24,7,164.54,True,1736.35,Central,contact43@company43.com,+1-555-167-6764
Customer_044,John Doe 44,Individual,Manufacturing,2023-11-23,2025-09-07,146.76,7,18.34,True,265.57,South,contact44@company44.com,+1-555-745-8264
Customer_045,Company m Inc.,SMB,Manufacturing,2025-09-16,2025-07-08,2889.03,8,481.5,True,4173.02,Central,contact45@company45.com,+1-555-184-2815
Customer_046,Company n Inc.,SMB,Retail,2024-04-29,2025-09-13,3363.11,4,420.39,True,6100.96,South,contact46@company46.com,+1-555-967-7722
Customer_047,Company o Inc.,Startup,Manufacturing,2023-03-13,2025-09-02,740.04,6,123.34,True,967.1,South,contact47@company47.com,+1-555-803-6367
Customer_048,Company p Inc.,Startup,Technology,2024-08-12,2025-09-13,1533.88,6,511.29,True,2063.85,West,contact48@company48.com,+1-555-954-4677
Customer_049,Company q Inc.,Enterprise,Retail,2025-08-06,2025-09-01,22523.26,6,3753.88,True,38318.87,North,contact49@company49.com,+1-555-573-4248
Customer_050,Company r Inc.,Startup,Technology,2024-10-12,2025-08-19,2643.76,8,293.75,True,4079.64,East,contact50@company50.com,+1-555-252-2459
Customer_051,Company s Inc.,Startup,Retail,2024-10-09,2025-09-08,520.63,9,57.85,False,924.05,West,contact51@company51.com,+1-555-891-8433
Customer_052,John Doe 52,Individual,Healthcare,2025-01-23,2025-09-18,400.26,12,66.71,True,541.33,East,contact52@company52.com,+1-555-394-9096
Customer_053,John Doe 53,Individual,Manufacturing,2024-12-30,2025-08-26,969.94,10,121.24,True,1629.57,East,contact53@company53.com,+1-555-844-4102
Customer_054,John Doe 54,Individual,Manufacturing,2024-09-18,2025-09-10,69.9,12,6.99,True,85.48,East,contact54@company54.com,+1-555-341-8388
Customer_055,Company w Inc.,SMB,Retail,2023-08-27,2025-09-09,6402.05,9,711.34,True,10029.02,North,contact55@company55.com,+1-555-580-3182
Customer_056,Company x Inc.,Startup,Education,2023-07-01,2025-09-17,1036.15,5,148.02,True,1561.27,West,contact56@company56.com,+1-555-853-5198
Customer_057,Company y Inc.,Enterprise,Retail,2025-03-11,2025-08-23,31774.35,7,3530.48,False,46590.41,South,contact57@company57.com,+1-555-582-6804
Customer_058,Company z Inc.,Enterprise,Finance,2025-09-12,2025-09-05,11647.93,9,1164.79,True,17527.23,West,contact58@company58.com,+1-555-787-7076
Customer_059,Company { Inc.,SMB,Retail,2025-06-30,2025-08-25,2621.24,10,291.25,True,3501.7,West,contact59@company59.com,+1-555-447-8669
Customer_060,Company | Inc.,SMB,Finance,2025-03-23,2025-09-12,1330.48,7,147.83,True,2057.37,East,contact60@company60.com,+1-555-219-6132
Customer_061,Company } Inc.,Enterprise,Manufacturing,2025-01-04,2025-08-16,29874.57,9,9958.19,True,55801.02,East,contact61@company61.com,+1-555-540-5635
Customer_062,Company ~ Inc.,Startup,Retail,2024-03-31,2025-08-31,369.16,9,52.74,True,706.63,East,contact62@company62.com,+1-555-854-9049
Customer_063,Company  Inc.,SMB,Technology,2023-04-05,2025-07-04,2031.58,12,406.32,True,2526.58,South,contact63@company63.com,+1-555-136-8704
Customer_064,Company  Inc.,Startup,Education,2024-10-23,2025-09-07,1150.15,8,230.03,True,1486.94,West,contact64@company64.com,+1-555-141-8233
Customer_065,Company  Inc.,Startup,Manufacturing,2023-01-03,2025-07-28,1217.7,10,202.95,True,2285.22,South,contact65@company65.com,+1-555-226-6727
Customer_066,Company  Inc.,Enterprise,Finance,2024-08-01,2025-07-31,23130.64,6,2313.06,True,30870.99,Central,contact66@company66.com,+1-555-942-5469
Customer_067,Company  Inc.,SMB,Retail,2025-09-14,2025-09-19,3192.87,5,456.12,True,4292.67,North,contact67@company67.com,+1-555-352-9161
Customer_068,Company  Inc.,Enterprise,Technology,2023-11-19,2025-08-29,94758.5,7,13536.93,True,188102.02,North,contact68@company68.com,+1-555-503-7120
Customer_069,Company  Inc.,Enterprise,Healthcare,2023-11-30,2025-08-21,18316.0,6,1831.6,False,28722.9,West,contact69@company69.com,+1-555-564-5412
Customer_070,Company  Inc.,Enterprise,Technology,2023-11-18,2025-08-05,24511.66,8,6127.92,True,48060.43,East,contact70@company70.com,+1-555-849-3118
Customer_071,Company  Inc.,SMB,Education,2025-06-15,2025-09-20,7276.37,10,606.36,True,13377.74,North,contact71@company71.com,+1-555-660-7248
Customer_072,Company  Inc.,Enterprise,Finance,2023-06-29,2025-09-08,22175.1,9,3695.85,True,43730.17,West,contact72@company72.com,+1-555-191-1336
Customer_073,Company  Inc.,SMB,Manufacturing,2024-10-24,2025-08-12,3754.14,7,417.13,True,5360.72,South,contact73@company73.com,+1-555-223-5891
Customer_074,John Doe 74,Individual,Education,2023-04-21,2025-08-19,508.31,4,39.1,True,736.07,Central,contact74@company74.com,+1-555-234-6882
Customer_075,Company  Inc.,Enterprise,Retail,2023-09-01,2025-07-06,42675.16,9,5334.39,True,66417.65,West,contact75@company75.com,+1-555-587-5398
Customer_076,John Doe 76,Individual,Manufacturing,2025-03-22,2025-09-11,352.38,8,88.09,True,595.9,West,contact76@company76.com,+1-555-745-7979
Customer_077,Company  Inc.,Enterprise,Retail,2025-07-02,2025-07-26,24042.72,9,8014.24,True,37766.78,South,contact77@company77.com,+1-555-763-3540
Customer_078,John Doe 78,Individual,Education,2022-10-09,2025-02-21,186.38,8,23.3,True,236.17,West,contact78@company78.com,+1-555-547-2297
Customer_079,John Doe 79,Individual,Healthcare,2024-01-16,2025-09-22,497.03,13,82.84,True,868.54,East,contact79@company79.com,+1-555-961-5073
Customer_080,John Doe 80,Individual,Retail,2024-01-26,2025-09-20,395.49,9,98.87,False,498.81,North,contact80@company80.com,+1-555-625-2763
Customer_081,John Doe 81,Individual,Technology,2023-05-31,2025-09-01,355.8,9,35.58,True,631.99,East,contact81@company81.com,+1-555-463-5175
Customer_082,Company  Inc.,Enterprise,Technology,2022-11-26,2025-09-21,55642.66,6,6182.52,False,96220.77,South,contact82@company82.com,+1-555-905-3985
Customer_083,John Doe 83,Individual,Technology,2025-06-22,2025-09-13,424.03,8,60.58,True,747.78,East,contact83@company83.com,+1-555-701-8454
Customer_084,John Doe 84,Individual,Finance,2024-03-29,2025-09-05,210.61,11,52.65,True,399.55,South,contact84@company84.com,+1-555-316-4032
Customer_085,Company  Inc.,Enterprise,Education,2024-04-09,2025-09-22,11417.64,9,1427.2,False,18582.21,North,contact85@company85.com,+1-555-504-2911
Customer_086,Company  Inc.,Enterprise,Education,2024-10-06,2025-09-22,32750.54,7,3275.05,True,57426.27,Central,contact86@company86.com,+1-555-843-8974
Customer_087,Company  Inc.,Startup,Education,2023-09-15,2025-09-16,755.58,5,62.96,True,1323.95,West,contact87@company87.com,+1-555-923-5958
Customer_088,Company  Inc.,Enterprise,Healthcare,2025-01-09,2025-09-10,26708.48,7,2670.85,False,34441.39,North,contact88@company88.com,+1-555-812-4083
Customer_089,Company  Inc.,Enterprise,Manufacturing,2024-07-21,2025-09-23,11972.97,9,1995.5,True,20591.02,West,contact89@company89.com,+1-555-962-9824
Customer_090,Company  Inc.,SMB,Finance,2025-03-30,2025-09-23,2829.57,6,257.23,True,3730.88,West,contact90@company90.com,+1-555-122-2908
Customer_091,Company  Inc.,SMB,Education,2024-11-14,2025-09-19,2938.7,11,489.78,True,5792.46,West,contact91@company91.com,+1-555-120-8364
Customer_092,Company  Inc.,SMB,Finance,2024-08-06,2025-09-03,3163.2,14,790.8,True,5905.92,North,contact92@company92.com,+1-555-441-1129
Customer_093,Company  Inc.,Enterprise,Manufacturing,2023-04-22,2025-08-25,13494.5,8,2249.08,True,24150.6,Central,contact93@company93.com,+1-555-848-5764
Customer_094,Company  Inc.,Enterprise,Manufacturing,2022-12-29,2025-09-21,8277.79,7,1655.56,True,13847.34,Central,contact94@company94.com,+1-555-794-8993
Customer_095,Company  Inc.,SMB,Retail,2025-05-21,2025-09-23,2713.24,10,339.16,False,4507.02,Central,contact95@company95.com,+1-555-165-5388
Customer_096,John Doe 96,Individual,Technology,2023-01-27,2025-09-14,371.34,11,33.76,True,724.56,East,contact96@company96.com,+1-555-559-8147
Customer_097,Company ¡ Inc.,Enterprise,Finance,2024-10-27,2025-09-02,32637.04,10,3626.34,True,51416.14,West,contact97@company97.com,+1-555-337-9317
Customer_098,Company ¢ Inc.,SMB,Retail,2023-10-29,2025-09-16,2253.47,11,225.35,True,3993.51,West,contact98@company98.com,+1-555-234-5806
Customer_099,John Doe 99,Individual,Education,2023-05-23,2025-07-04,180.27,7,18.03,True,268.28,West,contact99@company99.com,+1-555-918-3654
Customer_100,Company ¤ Inc.,SMB,Education,2024-02-22,2025-07-18,3053.1,6,305.31,True,5292.99,South,contact100@company100.com,+1-555-277-4268
